Index,Open,High,Low,Close,Volume
02/01/1970,285,285,282.5,283.24,1724
03/01/1970,282.2,285.8,280.8,285.42,2828
04/01/1970,284.4,286.6,283.7,286.1,3478
05/01/1970,285.8,286.3,283.7,284.42,1556
06/01/1970,284.8,285.6,283.8,284.76,956
07/01/1970,285.4,287,285,286.88,2042
08/01/1970,286.6,287.8,285.6,285.68,1752
09/01/1970,286.6,286.8,283.6,285.26,2386
10/01/1970,284.8,286.5,284.1,286,1020
11/01/1970,287.04,290,286.9,289.96,3132
12/01/1970,289.2,290.4,289,289.68,1722
13/01/1970,290.4,293.2,290.4,292.52,2036
14/01/1970,293.2,296.8,293.04,296.5,3190
15/01/1970,296.6,297,295.2,296.72,1100
16/01/1970,295.6,300.4,295.6,299.42,2102
17/01/1970,299.8,304.2,299.42,300.48,3414
18/01/1970,299.4,302,296.8,301.88,3792
19/01/1970,302.5,303.9,301.2,302.22,2420
20/01/1970,302.5,302.8,298.8,299.4,2152
21/01/1970,297.5,299.8,296.5,297.02,2580
22/01/1970,295.8,298.5,294.6,295.26,2302
23/01/1970,294.2,301,294.2,300.1,2984
24/01/1970,299.5,303.8,299,301.7,2480
25/01/1970,302,306.9,302,306.14,2808
26/01/1970,306.9,307.4,301.8,304.08,2700
27/01/1970,303.5,303.9,299.2,299.86,2124
28/01/1970,299.2,300,296.4,296.8,2294
29/01/1970,296.02,296.9,290.6,291.8,4966
30/01/1970,289.5,293.4,288,291.58,2806
31/01/1970,291.7,293.5,289,289.22,3016
01/02/1970,287,288.4,286.2,286.72,3402
02/02/1970,287.4,289.5,287.3,288.4,1696
03/02/1970,288,289,287.1,288.54,1018
04/02/1970,286.6,288.5,284.2,284.56,3356
05/02/1970,285.22,288.58,282.8,283.58,1984
06/02/1970,284.4,286.7,283.52,286,654
07/02/1970,285.5,288,285.3,287.6,466
08/02/1970,288.2,288.5,283.4,285,396
09/02/1970,284,285.6,282.2,285.4,306
10/02/1970,285.2,286.3,282.8,283.24,500
11/02/1970,282.2,282.5,279.1,279.2,710
12/02/1970,276.98,280.9,276.8,280.78,690
13/02/1970,278.5,282.3,278.5,282,244
14/02/1970,281.5,281.7,281,281.3,146
15/02/1970,281.6,282.26,281,282.26,126
16/02/1970,283,285,283,285,292
17/02/1970,286,287.8,285.5,287.5,254
18/02/1970,287.6,289.5,286.1,287.64,250
19/02/1970,286.6,287.48,285.6,286.76,190
20/02/1970,285.6,285.6,282.5,283,208
21/02/1970,283,283,280.4,280.9,204
22/02/1970,280.8,283,280,282.54,314
23/02/1970,282.4,286,281.7,286,106
24/02/1970,287,287.8,284,285.7,230
25/02/1970,284.8,287.3,284.5,285,148
26/02/1970,289.4,292,289.28,290.9,2926
27/02/1970,290.9,291.6,288.8,290.56,3046
28/02/1970,291.5,292.1,289.6,292,1962
01/03/1970,291.7,292.4,289,289.08,2572
02/03/1970,289.5,289.6,286,286.06,2534
03/03/1970,285.6,286.8,284.4,285.1,3238
04/03/1970,284,289,283.6,288.86,3144
05/03/1970,288.5,290,287.3,287.84,1214
06/03/1970,287,290.9,286.5,289.82,2962
07/03/1970,288.6,289,286,288.4,2546
08/03/1970,287.2,288.4,286.6,286.7,1010
09/03/1970,285.5,287.2,285.5,286.22,808
10/03/1970,286,288,285.8,286.58,1286
11/03/1970,286.8,288.9,286.8,287.06,2104
12/03/1970,287,287.8,281.7,282.38,6250
13/03/1970,281.8,282.8,279.7,280.02,2544
14/03/1970,278.1,280.6,278.1,278.58,1776
15/03/1970,280.5,281.5,279,280.14,1100
16/03/1970,280.5,281.2,278.6,278.96,1072
17/03/1970,278,281.2,277.7,281.2,1834
18/03/1970,281.4,284.36,280.6,284.2,2580
19/03/1970,283.2,291.2,283.2,290.32,1504
20/03/1970,291,291.4,287.4,287.98,850
21/03/1970,287.02,292,286.5,292,1130
22/03/1970,292,292.5,290,291.8,332
23/03/1970,290.2,291.98,289.8,291.84,220
24/03/1970,289.8,293.98,289.3,293.98,408
25/03/1970,292.96,294.6,291.5,291.6,410
26/03/1970,290.5,294.3,290,294.08,242
27/03/1970,293.38,293.38,291.9,292.9,188
28/03/1970,292,295,291.7,293.76,252
29/03/1970,293.9,294,293,293.2,56
30/03/1970,292.8,294,288,288.92,298
31/03/1970,289,289,287.02,287.6,196
01/04/1970,287.5,287.9,287,287.6,110
02/04/1970,286.5,290,286,289.8,290
03/04/1970,289,289.3,288,288.36,128
04/04/1970,287.3,288,286.5,288,312
05/04/1970,287.4,288,286,286.74,538
06/04/1970,287.5,288,286.5,286.66,192
07/04/1970,286.4,287.76,286,287.76,420
08/04/1970,287.5,291.6,287.5,291.54,424
09/04/1970,291.2,292,287,287,466
10/04/1970,291.4,292.8,290.7,292.8,1710
11/04/1970,293.2,293.98,292.6,293.24,1710
12/04/1970,293.2,293.6,291.72,292.3,1292
13/04/1970,291.8,292,289.2,289.3,1838
14/04/1970,289,289.7,288.4,288.46,1658
15/04/1970,287.6,290.4,287.6,289.18,1870
16/04/1970,288.98,290.4,288.1,288.2,1326
17/04/1970,288.2,289.9,288.2,289.6,712
18/04/1970,289,289.5,285.8,285.94,2380
19/04/1970,285.4,290.88,285.4,290.32,3220
20/04/1970,288.8,289.5,287.5,288.3,1578
21/04/1970,293,298.8,293,298.04,5196
22/04/1970,292,294.3,291.3,294.06,2416
23/04/1970,294.6,295,290.4,290.6,1302
24/04/1970,291.2,295.8,291,293.44,1796
25/04/1970,295.48,296.9,294.7,295.78,2322
26/04/1970,295.12,295.62,293.6,293.66,1104
27/04/1970,291,291.8,290.1,290.4,1608
28/04/1970,289.4,291,289.2,290.74,1520
29/04/1970,290.2,291.4,288.5,288.62,2290
30/04/1970,285.6,287,282.9,283.1,2490
