Index,Open,High,Low,Close,Volume
02/01/1970,0.768,0.7716,0.7674,0.7682,13862
03/01/1970,0.7708,0.7726,0.7672,0.77,19062
04/01/1970,0.7688,0.7712,0.7642,0.7658,18822
05/01/1970,0.7634,0.772,0.7604,0.7686,27838
06/01/1970,0.7672,0.7682,0.7592,0.7596,32764
07/01/1970,0.76,0.7636,0.7584,0.7622,34758
08/01/1970,0.76,0.7654,0.7596,0.7618,26594
09/01/1970,0.7632,0.7648,0.7562,0.7564,28956
10/01/1970,0.7574,0.7582,0.7482,0.749,26706
11/01/1970,0.7494,0.752,0.7468,0.7478,32020
12/01/1970,0.7504,0.7528,0.7484,0.749,27152
13/01/1970,0.7504,0.7522,0.7478,0.7508,19512
14/01/1970,0.7514,0.7574,0.7482,0.7568,29798
15/01/1970,0.7532,0.755,0.7508,0.7536,17686
16/01/1970,0.7524,0.754,0.7482,0.7492,27630
17/01/1970,0.7504,0.7528,0.7476,0.752,23092
18/01/1970,0.7526,0.759,0.752,0.7556,36686
19/01/1970,0.756,0.7568,0.752,0.7538,23270
20/01/1970,0.7534,0.756,0.753,0.755,16716
21/01/1970,0.755,0.7554,0.7508,0.7526,21990
22/01/1970,0.7514,0.7538,0.7496,0.7518,26018
23/01/1970,0.7512,0.753,0.7478,0.7486,31466
24/01/1970,0.7456,0.748,0.7378,0.738,37784
25/01/1970,0.735,0.7364,0.7314,0.7326,26954
26/01/1970,0.733,0.7358,0.7316,0.734,30234
27/01/1970,0.7344,0.7358,0.7316,0.7328,21304
28/01/1970,0.7324,0.7324,0.7268,0.7276,27786
29/01/1970,0.7248,0.7272,0.7222,0.7228,29632
30/01/1970,0.721,0.7238,0.7168,0.723,33766
31/01/1970,0.7184,0.72,0.7154,0.7166,24132
01/02/1970,0.7162,0.7166,0.7128,0.7138,35780
02/02/1970,0.7164,0.719,0.7148,0.7154,24092
03/02/1970,0.7218,0.7236,0.7194,0.723,24604
04/02/1970,0.711,0.7138,0.7106,0.7122,32398
05/02/1970,0.7122,0.7124,0.7086,0.71,21298
06/02/1970,0.709,0.7108,0.7064,0.7088,37614
07/02/1970,0.7012,0.7046,0.7004,0.7012,22986
08/02/1970,0.6912,0.6946,0.6846,0.6858,36766
09/02/1970,0.6818,0.7,0.6816,0.693,39462
10/02/1970,0.7098,0.712,0.7048,0.7088,33528
11/02/1970,0.707,0.7088,0.6982,0.6986,26810
12/02/1970,0.6984,0.706,0.6948,0.6986,28964
13/02/1970,0.6926,0.6946,0.69,0.6936,26910
14/02/1970,0.6876,0.6884,0.684,0.6854,20088
15/02/1970,0.6854,0.6962,0.6832,0.6942,16936
16/02/1970,0.689,0.6904,0.6876,0.6886,5880
17/02/1970,0.6884,0.6958,0.6884,0.691,5324
18/02/1970,0.7,0.7036,0.6982,0.7028,5448
19/02/1970,0.7002,0.7062,0.6966,0.7054,2418
20/02/1970,0.7042,0.7084,0.6986,0.6992,2546
21/02/1970,0.696,0.6968,0.6922,0.6936,2744
22/02/1970,0.69,0.6966,0.6894,0.6924,3432
23/02/1970,0.6958,0.6996,0.6956,0.6992,894
24/02/1970,0.724,0.7394,0.7206,0.739,62102
25/02/1970,0.731,0.7372,0.727,0.729,43316
26/02/1970,0.7326,0.745,0.7326,0.7414,36970
27/02/1970,0.7414,0.743,0.7368,0.742,21048
28/02/1970,0.7356,0.736,0.7332,0.7342,19644
01/03/1970,0.7348,0.7418,0.7342,0.7386,28132
02/03/1970,0.757,0.7616,0.7536,0.757,40804
03/03/1970,0.7636,0.7646,0.7572,0.7634,39228
04/03/1970,0.7748,0.7804,0.769,0.7774,40754
05/03/1970,0.7666,0.7688,0.7628,0.7648,28422
06/03/1970,0.7558,0.768,0.7558,0.766,35542
07/03/1970,0.7604,0.764,0.7548,0.757,32894
08/03/1970,0.754,0.759,0.7476,0.7552,33544
09/03/1970,0.747,0.7658,0.747,0.765,30696
10/03/1970,0.758,0.7612,0.7528,0.7546,50614
11/03/1970,0.758,0.7636,0.7546,0.7606,43686
12/03/1970,0.7702,0.7816,0.7702,0.7802,45558
13/03/1970,0.7826,0.7868,0.7752,0.784,41884
14/03/1970,0.7992,0.7992,0.7932,0.7948,36906
15/03/1970,0.803,0.8042,0.7924,0.7982,45888
16/03/1970,0.7954,0.8,0.791,0.7938,31792
17/03/1970,0.8,0.8154,0.799,0.815,46212
18/03/1970,0.812,0.815,0.8096,0.8122,22854
19/03/1970,0.8082,0.8114,0.8006,0.8014,30272
20/03/1970,0.8034,0.808,0.7702,0.776,66282
21/03/1970,0.7722,0.7782,0.7696,0.7764,46442
22/03/1970,0.7724,0.774,0.7628,0.7668,44048
23/03/1970,0.7654,0.7714,0.764,0.7672,29206
24/03/1970,0.7698,0.7776,0.7654,0.7768,38410
25/03/1970,0.7762,0.7808,0.7664,0.7676,37042
26/03/1970,0.7614,0.7682,0.7594,0.7662,33598
27/03/1970,0.7564,0.759,0.7524,0.753,40910
28/03/1970,0.75,0.75,0.7364,0.737,47724
29/03/1970,0.7344,0.7432,0.7318,0.738,43716
30/03/1970,0.7478,0.755,0.7468,0.7538,45768
31/03/1970,0.7488,0.7528,0.746,0.7492,30468
01/04/1970,0.766,0.7696,0.763,0.765,38790
02/04/1970,0.7644,0.7686,0.761,0.7678,23498
03/04/1970,0.7728,0.7784,0.7704,0.7768,37386
04/04/1970,0.7772,0.7834,0.7708,0.78,52066
05/04/1970,0.7772,0.784,0.775,0.7832,44020
06/04/1970,0.77,0.776,0.769,0.7736,35674
07/04/1970,0.7724,0.7794,0.7724,0.777,23444
08/04/1970,0.7864,0.7884,0.77,0.7718,48760
09/04/1970,0.779,0.78,0.7688,0.7776,45020
10/04/1970,0.774,0.7772,0.7712,0.7756,30236
11/04/1970,0.771,0.7754,0.7692,0.7746,27334
12/04/1970,0.7714,0.7718,0.7632,0.7652,23794
13/04/1970,0.765,0.7666,0.7612,0.7636,30132
14/04/1970,0.766,0.7764,0.7638,0.7752,34830
15/04/1970,0.7748,0.7762,0.7678,0.7712,33856
16/04/1970,0.7688,0.7832,0.7664,0.7824,44414
17/04/1970,0.7826,0.7856,0.7776,0.7836,35898
18/04/1970,0.7816,0.7846,0.777,0.7784,22686
19/04/1970,0.7774,0.7792,0.7742,0.779,13772
20/04/1970,0.7792,0.7818,0.7762,0.778,7810
21/04/1970,0.778,0.7788,0.7688,0.77,7844
22/04/1970,0.768,0.7696,0.7648,0.7688,6046
23/04/1970,0.7686,0.7724,0.7684,0.7708,5348
24/04/1970,0.7718,0.7724,0.7682,0.7684,4384
25/04/1970,0.7658,0.77,0.7646,0.7668,4378
26/04/1970,0.774,0.7794,0.7728,0.7776,7072
27/04/1970,0.775,0.777,0.775,0.776,1508
28/04/1970,0.7868,0.7986,0.7856,0.7982,45442
29/04/1970,0.7982,0.799,0.7874,0.7888,42748
30/04/1970,0.7914,0.7918,0.7784,0.7808,42224
01/05/1970,0.779,0.7864,0.7786,0.7842,22574
02/05/1970,0.7816,0.786,0.7808,0.7846,18092
03/05/1970,0.7846,0.785,0.777,0.7842,27352
04/05/1970,0.7848,0.7938,0.7846,0.7898,44628
05/05/1970,0.788,0.7888,0.7838,0.787,32850
06/05/1970,0.7852,0.795,0.7852,0.7934,35602
07/05/1970,0.7912,0.7932,0.7882,0.7886,29656
08/05/1970,0.7872,0.7916,0.7866,0.7898,23646
09/05/1970,0.7908,0.794,0.7902,0.7922,16964
10/05/1970,0.7986,0.8078,0.7958,0.8056,42822
11/05/1970,0.812,0.8154,0.809,0.8102,42082
12/05/1970,0.819,0.824,0.819,0.822,36308
13/05/1970,0.818,0.828,0.8166,0.8262,40476
14/05/1970,0.8312,0.841,0.8292,0.8406,43470
15/05/1970,0.841,0.8422,0.833,0.8406,48222
16/05/1970,0.8368,0.8442,0.8342,0.8422,52578
17/05/1970,0.8536,0.8628,0.8522,0.8602,60068
18/05/1970,0.8592,0.8624,0.8408,0.8414,67976
19/05/1970,0.844,0.8512,0.8424,0.8478,41674
20/05/1970,0.8472,0.8528,0.842,0.8524,42574
21/05/1970,0.858,0.862,0.8514,0.8522,55736
22/05/1970,0.851,0.8566,0.8472,0.8562,47830
23/05/1970,0.8582,0.8596,0.8516,0.8558,46456
24/05/1970,0.854,0.8716,0.8514,0.8704,57602
25/05/1970,0.8708,0.879,0.869,0.8696,51950
26/05/1970,0.8704,0.8784,0.8682,0.8706,57002
27/05/1970,0.8808,0.882,0.8714,0.8802,51138
28/05/1970,0.8756,0.877,0.8632,0.8652,57344
29/05/1970,0.866,0.872,0.8638,0.871,30954
30/05/1970,0.8704,0.871,0.8602,0.8654,43316
31/05/1970,0.8548,0.8562,0.8476,0.8488,53124
01/06/1970,0.8524,0.8556,0.8496,0.8506,38372
02/06/1970,0.8548,0.8588,0.8544,0.8584,38512
03/06/1970,0.8572,0.8708,0.8544,0.8702,42122
04/06/1970,0.87,0.8758,0.8676,0.874,38956
05/06/1970,0.875,0.88,0.8722,0.8772,47654
06/06/1970,0.872,0.8754,0.8696,0.8732,40022
07/06/1970,0.8822,0.887,0.8782,0.8864,49364
08/06/1970,0.8844,0.8908,0.8844,0.8872,30884
09/06/1970,0.8876,0.89,0.885,0.8892,26712
10/06/1970,0.8824,0.8824,0.8766,0.8802,43432
11/06/1970,0.8788,0.8898,0.8788,0.8888,37962
12/06/1970,0.891,0.8954,0.881,0.884,49842
13/06/1970,0.887,0.8918,0.8852,0.8894,35356
14/06/1970,0.8874,0.889,0.8808,0.8832,34042
15/06/1970,0.882,0.882,0.872,0.88,47956
16/06/1970,0.884,0.8868,0.8814,0.8838,36486
17/06/1970,0.881,0.8828,0.8758,0.8796,31510
18/06/1970,0.877,0.8778,0.8638,0.8658,40280
19/06/1970,0.8546,0.855,0.8484,0.8486,43054
20/06/1970,0.8534,0.8588,0.8506,0.855,36154
21/06/1970,0.8546,0.8562,0.8422,0.8438,35122
22/06/1970,0.836,0.836,0.826,0.8302,34276
23/06/1970,0.8212,0.83,0.8204,0.8224,17026
24/06/1970,0.8248,0.8278,0.8212,0.8236,7910
25/06/1970,0.8248,0.825,0.8168,0.8202,6302
26/06/1970,0.8172,0.8278,0.8158,0.8242,8704
27/06/1970,0.832,0.8392,0.8284,0.835,6162
28/06/1970,0.834,0.836,0.832,0.8342,3238
29/06/1970,0.851,0.855,0.845,0.8468,44498
30/06/1970,0.8456,0.8496,0.8424,0.8442,44430
01/07/1970,0.8428,0.8488,0.8426,0.8474,32810
02/07/1970,0.8514,0.8644,0.8514,0.864,46948
03/07/1970,0.911,0.9116,0.8974,0.908,69532
04/07/1970,0.9064,0.9094,0.9,0.9072,56330
05/07/1970,0.9046,0.919,0.9032,0.9186,42766
06/07/1970,0.9236,0.9274,0.9146,0.9164,57758
07/07/1970,0.9238,0.9238,0.913,0.916,48124
08/07/1970,0.9206,0.9396,0.9196,0.939,66676
09/07/1970,0.9366,0.9402,0.9304,0.9328,57502
10/07/1970,0.9316,0.9438,0.9308,0.941,51434
11/07/1970,0.9432,0.9456,0.931,0.9372,48330
12/07/1970,0.9324,0.9346,0.9276,0.93,41910
13/07/1970,0.926,0.9314,0.926,0.9274,34704
14/07/1970,0.93,0.9326,0.9254,0.9258,37432
15/07/1970,0.9244,0.9264,0.917,0.9186,47822
16/07/1970,0.9224,0.9276,0.9176,0.9246,36174
17/07/1970,0.921,0.9234,0.92,0.9214,20636
18/07/1970,0.9134,0.9154,0.91,0.9128,36638
19/07/1970,0.918,0.929,0.916,0.9284,46116
20/07/1970,0.9314,0.9338,0.9272,0.9322,28022
21/07/1970,0.9318,0.9334,0.9274,0.9302,28818
22/07/1970,0.9278,0.9312,0.9264,0.931,24298
23/07/1970,0.9308,0.9344,0.9274,0.929,31134
24/07/1970,0.926,0.9266,0.9238,0.9246,26046
25/07/1970,0.9274,0.9296,0.9232,0.924,25910
26/07/1970,0.9274,0.9284,0.9258,0.9278,15278
27/07/1970,0.9308,0.9392,0.9306,0.9386,45372
28/07/1970,0.9386,0.941,0.9342,0.935,34102
29/07/1970,0.9364,0.943,0.9336,0.936,42378
30/07/1970,0.9364,0.9456,0.9338,0.9448,41468
31/07/1970,0.9444,0.9446,0.939,0.941,38212
01/08/1970,0.9368,0.9386,0.9334,0.936,32888
02/08/1970,0.9386,0.9414,0.937,0.9412,28168
03/08/1970,0.941,0.9418,0.9256,0.93,50872
04/08/1970,0.9336,0.9364,0.9292,0.9338,30724
05/08/1970,0.9316,0.9376,0.9304,0.9344,10634
06/08/1970,0.9322,0.9408,0.931,0.9406,28892
07/08/1970,0.9388,0.9402,0.9346,0.935,31876
08/08/1970,0.9378,0.942,0.9346,0.9372,33610
09/08/1970,0.937,0.9372,0.9322,0.935,25178
10/08/1970,0.9344,0.94,0.9338,0.9396,23016
11/08/1970,0.9394,0.9448,0.9352,0.9388,51792
12/08/1970,0.9436,0.946,0.9342,0.936,44988
13/08/1970,0.9454,0.9508,0.943,0.9496,43604
14/08/1970,0.9476,0.9562,0.9466,0.9544,38152
15/08/1970,0.9546,0.9568,0.9528,0.955,28034
16/08/1970,0.9512,0.9608,0.9506,0.9588,34516
17/08/1970,0.9578,0.9608,0.954,0.9564,39050
18/08/1970,0.9638,0.966,0.9614,0.9638,21758
19/08/1970,0.9658,0.9662,0.951,0.9564,46642
20/08/1970,0.9484,0.9524,0.947,0.9482,49940
21/08/1970,0.9564,0.9588,0.9548,0.9568,19512
22/08/1970,0.9518,0.957,0.9508,0.9554,16280
23/08/1970,0.9528,0.9536,0.9488,0.949,15502
24/08/1970,0.9484,0.9492,0.9452,0.9464,12934
25/08/1970,0.9434,0.9452,0.9414,0.9428,8868
26/08/1970,0.9382,0.9434,0.9356,0.9434,9458
27/08/1970,0.947,0.952,0.946,0.9472,8300
28/08/1970,0.952,0.9534,0.9476,0.9482,6404
29/08/1970,0.9482,0.9482,0.9442,0.9444,3290
30/08/1970,0.9596,0.9636,0.9572,0.9576,27920
31/08/1970,0.9554,0.9562,0.949,0.9498,26672
01/09/1970,0.9512,0.958,0.9506,0.9546,17220
02/09/1970,0.9536,0.9584,0.9516,0.9574,11436
03/09/1970,0.9564,0.9594,0.9536,0.9548,11198
04/09/1970,0.9554,0.959,0.955,0.9554,4664
05/09/1970,0.9658,0.9728,0.9644,0.9724,24594
06/09/1970,0.9716,0.975,0.9704,0.9742,12774
07/09/1970,0.9776,0.9856,0.9772,0.9816,15356
08/09/1970,0.9816,0.9894,0.9778,0.9872,31772
09/09/1970,0.9758,0.9766,0.972,0.9728,28056
10/09/1970,0.9674,0.9768,0.9674,0.9746,29302
11/09/1970,0.978,0.979,0.973,0.9752,27644
12/09/1970,0.9738,0.974,0.9614,0.9638,38858
13/09/1970,0.967,0.9808,0.9622,0.9762,52298
14/09/1970,0.9674,0.9714,0.96,0.9622,45586
15/09/1970,0.9596,0.9662,0.9558,0.9628,48966
16/09/1970,0.9606,0.965,0.9578,0.9604,26178
17/09/1970,0.9654,0.9702,0.965,0.968,32174
18/09/1970,0.97,0.97,0.9646,0.966,22562
19/09/1970,0.9628,0.9666,0.961,0.9616,17936
20/09/1970,0.9592,0.972,0.958,0.9714,30744
21/09/1970,0.9656,0.9688,0.9626,0.964,34866
22/09/1970,0.9618,0.973,0.9586,0.9666,55248
23/09/1970,0.9686,0.973,0.967,0.9726,35494
24/09/1970,0.983,0.986,0.9786,0.9846,39532
25/09/1970,0.988,0.99,0.9844,0.9886,25290
26/09/1970,0.9886,0.9922,0.9862,0.9916,25348
27/09/1970,0.995,0.9962,0.9914,0.9924,28864
28/09/1970,0.9924,1.0008,0.9916,0.9974,38138
29/09/1970,0.9914,0.994,0.9892,0.9928,28608
30/09/1970,0.992,0.9924,0.9862,0.9876,23636
01/10/1970,0.9824,0.9872,0.98,0.9858,28980
02/10/1970,0.987,0.997,0.987,0.9946,26952
03/10/1970,0.9946,0.998,0.9886,0.989,29276
04/10/1970,0.9916,0.9924,0.984,0.9912,25538
05/10/1970,0.997,1.0066,0.9958,1.0062,39506
06/10/1970,1.0092,1.014,1.007,1.0126,38614
07/10/1970,1.022,1.0222,1.0186,1.021,37494
08/10/1970,1.0198,1.035,1.017,1.0336,49868
09/10/1970,1.0266,1.0336,1.0246,1.0334,35680
10/10/1970,1.0268,1.0464,1.0264,1.0434,44158
11/10/1970,1.0492,1.0664,1.0404,1.0434,71262
12/10/1970,1.0498,1.059,1.0418,1.0446,49402
13/10/1970,1.034,1.043,1.0326,1.0428,41298
14/10/1970,1.0514,1.0582,1.0462,1.0564,57046
15/10/1970,1.0616,1.0684,1.0572,1.0632,53844
16/10/1970,1.06,1.0676,1.056,1.058,45860
17/10/1970,1.077,1.08,1.0592,1.0698,53454
18/10/1970,1.07,1.075,1.0596,1.0632,38320
19/10/1970,1.068,1.0708,1.0638,1.0696,34598
20/10/1970,1.0714,1.076,1.0654,1.0724,48822
21/10/1970,1.0646,1.0654,1.042,1.0474,60776
22/10/1970,1.056,1.06,1.0504,1.0584,37144
23/10/1970,1.0554,1.0636,1.052,1.0574,32106
24/10/1970,1.04,1.0454,1.0302,1.0394,28948
25/10/1970,1.0382,1.0462,1.0368,1.0398,9374
26/10/1970,1.041,1.0432,1.033,1.0402,9856
27/10/1970,1.0382,1.0386,1.0314,1.0338,5486
28/10/1970,1.051,1.056,1.0488,1.0526,9102
29/10/1970,1.0622,1.067,1.0608,1.0612,1590
30/10/1970,1.071,1.0742,1.067,1.0732,28984
31/10/1970,1.0618,1.0656,1.0604,1.0654,27170
01/11/1970,1.065,1.068,1.064,1.0672,22600
02/11/1970,1.0678,1.077,1.0676,1.076,25320
03/11/1970,1.046,1.0526,1.0364,1.037,51030
04/11/1970,1.037,1.037,1.023,1.024,54220
05/11/1970,1.0256,1.0338,1.024,1.0272,30578
06/11/1970,1.0392,1.04,1.0304,1.0352,23390
07/11/1970,1.0306,1.0374,1.023,1.035,21704
08/11/1970,1.0326,1.0374,1.0272,1.0302,27340
09/11/1970,1.0234,1.024,1.015,1.0184,39092
10/11/1970,1.0158,1.0172,1.006,1.0102,41454
11/11/1970,1.0094,1.013,1.005,1.0104,21192
12/11/1970,1,1.002,0.996,1,33248
13/11/1970,1.019,1.025,1.0152,1.0246,43286
14/11/1970,1.027,1.0332,1.0248,1.0282,37438
15/11/1970,1.0306,1.0534,1.0292,1.0508,40528
16/11/1970,1.046,1.05,1.039,1.041,32532
17/11/1970,1.038,1.0426,1.0366,1.0406,23244
18/11/1970,1.034,1.0464,1.033,1.04,38042
19/11/1970,1.0618,1.0668,1.0582,1.066,44130
20/11/1970,1.078,1.0902,1.071,1.0794,62012
21/11/1970,1.081,1.0894,1.0754,1.0878,43126
22/11/1970,1.0806,1.0946,1.0798,1.0932,44122
23/11/1970,1.0946,1.1002,1.085,1.093,45122
24/11/1970,1.0986,1.1006,1.09,1.0968,40372
25/11/1970,1.0936,1.0946,1.0872,1.0916,28558
26/11/1970,1.09,1.1114,1.0898,1.111,39564
27/11/1970,1.1044,1.1136,1.1042,1.1094,32596
28/11/1970,1.1046,1.1084,1.102,1.1026,23644
